id_vehicule,id_pays,type_vehicule,manoeuvre,nb_occupants,motorisation
302,826,Car,Waiting to turn left,0,Unknown
303,826,Electric motorcycle,Going ahead,0,Electric
304,826,Car,U-turn,5,Petrol
305,826,Car,Turning right,3,Petrol
306,826,Motorcycle over 500cc,Overtaking static vehicle on offside,0,Unknown
307,826,Car,Going ahead,3,Petrol
308,826,Motorcycle 50cc and under,U-turn,0,Petrol
309,826,Bus or coach (17+ passenger seats),Overtaking moving vehicle on offside,0,Heavy oil
310,826,Goods vehicle over 7.5t,Overtaking static vehicle on offside,1,Heavy oil
311,826,Bus or coach (17+ passenger seats),Moving off,0,Heavy oil
312,826,Goods vehicle over 3.5t and up to 7.5t,Turning right,4,Heavy oil
313,826,Goods vehicle over 7.5t,Turning left,0,Heavy oil
314,826,Goods vehicle over 3.5t and up to 7.5t,Parked,0,Heavy oil
315,826,Bus or coach (17+ passenger seats),Turning left,0,Heavy oil
316,826,Goods vehicle over 7.5t,Going ahead,4,Heavy oil
317,826,Goods vehicle over 3.5t and up to 7.5t,Reversing,1,Heavy oil
318,826,Goods vehicle over 3.5t and up to 7.5t,Going ahead,1,Unknown
319,826,Minibus (8-16 passenger seats),Overtaking static vehicle on offside,0,Unknown
320,826,Goods vehicle over 7.5t,U-turn,0,Unknown
321,826,Goods vehicle - unknown weight,Parked,0,Unknown
322,826,Bus or coach (17+ passenger seats),Changing lane to right,0,Heavy oil
323,826,Goods vehicle over 7.5t,Waiting to go ahead,0,Unknown
324,826,Taxi/Private hire car,Parked,0,Heavy oil
325,826,Taxi/Private hire car,Going ahead,0,Gas/Bi-fuel
326,826,Van/Goods vehicle 3.5t and under,Slowing or stopping,0,Unknown
327,826,Goods vehicle over 7.5t,Overtaking moving vehicle on offside,1,Heavy oil
328,826,Goods vehicle over 3.5t and up to 7.5t,Moving off,0,Heavy oil
329,826,Other vehicle,Overtaking static vehicle on offside,0,Unknown
330,826,Goods vehicle over 3.5t and up to 7.5t,Overtaking moving vehicle on offside,0,Heavy oil
331,826,Goods vehicle over 3.5t and up to 7.5t,Turning right,0,Heavy oil
332,826,Goods vehicle over 3.5t and up to 7.5t,Reversing,0,Heavy oil
333,826,Goods vehicle over 7.5t,Reversing,0,Heavy oil
334,826,Taxi/Private hire car,Waiting to turn left,0,Unknown
335,826,Motorcycle over 125cc and up to 500cc,Overtaking on nearside,0,Petrol
336,826,Motorcycle over 125cc and up to 500cc,Turning left,0,Petrol
337,826,Other vehicle,Parked,0,Heavy oil
338,826,Motorcycle over 500cc,Waiting to turn right,0,Petrol
339,826,Car,Changing lane to left,5,Heavy oil
340,826,Car,Unknown,5,Petrol
341,826,Van/Goods vehicle 3.5t and under,Slowing or stopping,0,Petrol
342,826,Car,U-turn,0,Electric
343,826,Car,Waiting to turn left,0,Hybrid electric
344,826,Car,Turning left,,Heavy oil
345,826,Taxi/Private hire car,Slowing or stopping,0,Hybrid electric
346,826,Taxi/Private hire car,Moving off,0,Hybrid electric
347,826,Car,Slowing or stopping,9,Hybrid electric
348,826,Taxi/Private hire car,Parked,0,Hybrid electric
349,826,Taxi/Private hire car,Reversing,0,Hybrid electric
350,826,Goods vehicle - unknown weight,Going ahead,0,Heavy oil
351,826,Van/Goods vehicle 3.5t and under,Unknown,,Heavy oil
352,826,Car,Reversing,0,Hybrid electric
353,826,Car,Waiting to turn left,0,Electric
354,826,Car,Turning left,0,Electric
355,826,Van/Goods vehicle 3.5t and under,Moving off,0,Electric
356,826,Goods vehicle over 3.5t and up to 7.5t,Overtaking on nearside,0,Heavy oil
357,826,Van/Goods vehicle 3.5t and under,Waiting to go ahead,5,Heavy oil
358,826,Other vehicle,Turning left,0,Heavy oil
359,826,Goods vehicle over 3.5t and up to 7.5t,Unknown,9,Unknown
360,826,Van/Goods vehicle 3.5t and under,Parked,5,Heavy oil
361,826,Van/Goods vehicle 3.5t and under,Parked,4,Heavy oil
362,826,Other vehicle,Parked,0,Petrol
363,826,Van/Goods vehicle 3.5t and under,Turning left,0,Electric
364,826,Minibus (8-16 passenger seats),Slowing or stopping,0,Heavy oil
365,826,Minibus (8-16 passenger seats),Moving off,0,Heavy oil
366,826,Taxi/Private hire car,U-turn,0,Heavy oil
367,826,Electric motorcycle,Slowing or stopping,0,Electric
368,826,Taxi/Private hire car,Changing lane to left,0,Heavy oil
369,826,Car,Going ahead,,Heavy oil
370,826,Car,Turning right,0,Electric diesel
371,826,Car,Moving off,9,Heavy oil
372,826,Taxi/Private hire car,Turning right,9,Heavy oil
373,826,Bus or coach (17+ passenger seats),Moving off,0,Gas
374,826,Goods vehicle over 3.5t and up to 7.5t,Slowing or stopping,1,Unknown
375,826,Other vehicle,Turning left,0,Unknown
376,826,Other vehicle,Going ahead,0,Unknown
377,826,Other vehicle,Changing lane to right,0,Heavy oil
378,826,Goods vehicle over 7.5t,Overtaking on nearside,1,Heavy oil
379,826,Bus or coach (17+ passenger seats),Unknown,9,Heavy oil
380,826,Goods vehicle over 7.5t,Going ahead,0,Gas
381,826,Taxi/Private hire car,Turning left,0,Petrol
382,826,Motorcycle over 500cc,Turning right,0,Petrol
383,826,Car,Turning left,0,Electric diesel
384,826,Car,Overtaking moving vehicle on offside,0,Hybrid electric
385,826,Motorcycle over 500cc,Waiting to turn left,0,Petrol
386,826,Goods vehicle - unknown weight,Changing lane to right,0,Heavy oil
387,826,Goods vehicle - unknown weight,Overtaking static vehicle on offside,0,Heavy oil
388,826,Goods vehicle over 7.5t,U-turn,4,Heavy oil
389,826,Car,Changing lane to right,0,Electric diesel
390,826,Car,Overtaking moving vehicle on offside,0,Electric diesel
391,826,Van/Goods vehicle 3.5t and under,Reversing,0,Electric
392,826,Motorcycle over 125cc and up to 500cc,Unknown,9,Petrol
393,826,Car,Going ahead,,Hybrid electric
394,826,Motorcycle 125cc and under,Slowing or stopping,9,Petrol
395,826,Van/Goods vehicle 3.5t and under,Parked,0,Electric
396,826,Goods vehicle over 7.5t,Overtaking static vehicle on offside,0,Unknown
397,826,Van/Goods vehicle 3.5t and under,Parked,3,Heavy oil
398,826,Goods vehicle over 7.5t,Slowing or stopping,0,Unknown
399,826,Car,Going ahead,5,Heavy oil
400,826,Car,Overtaking on nearside,5,Heavy oil
401,826,Minibus (8-16 passenger seats),Waiting to go ahead,0,Unknown
402,826,Car,Turning right,5,Heavy oil
403,826,Goods vehicle - unknown weight,Going ahead,0,Unknown
