id_usager,id_pays,age,sexe,place_vehicule,gravite,cat_usager
523,826,16,Male,Not passenger,Slight,Pedestrian
524,826,54,Male,Unknown,Slight,Passenger
525,826,3,Female,Seated passenger,Slight,Passenger
526,826,6,Female,Not passenger,Serious,Pedestrian
527,826,32,Female,Front seat,Slight,Passenger
528,826,58,Male,Not passenger,Slight,Passenger
529,826,55,Male,Not passenger,Fatal,Pedestrian
530,826,17,Male,Not passenger,Fatal,Driver or rider
531,826,16,Female,Not passenger,Slight,Driver or rider
532,826,59,Male,Not passenger,Serious,Pedestrian
533,826,12,Female,Rear seat,Slight,Passenger
534,826,1,Male,Front seat,Serious,Passenger
535,826,65,Female,Unknown,Slight,Passenger
536,826,69,Male,Not passenger,Serious,Pedestrian
537,826,69,Female,Front seat,Serious,Passenger
538,826,82,Male,Not passenger,Slight,Pedestrian
539,826,28,Male,Front seat,Slight,Passenger
540,826,18,Male,Front seat,Slight,Passenger
541,826,92,Female,Front seat,Slight,Passenger
542,826,72,Male,Not passenger,Fatal,Driver or rider
543,826,40,Male,Not passenger,Serious,Pedestrian
544,826,59,Female,Not passenger,Slight,Pedestrian
545,826,33,Male,Not passenger,Serious,Driver or rider
546,826,24,Male,Rear seat,Slight,Passenger
547,826,46,Male,Rear seat,Serious,Passenger
548,826,29,Female,Front seat,Serious,Passenger
549,826,38,Male,Not passenger,Serious,Pedestrian
550,826,23,Male,Not passenger,Slight,Pedestrian
551,826,19,Female,Not passenger,Slight,Passenger
